nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl,,,,,,,,,,,,,,,,,,,
18900000,50.1806,46.3243,349.7444156,0.196862805,11.24083173,0.053970498,171,,,,,,,,,,,,,,,,,,
18890000,50.1973,46.3267,349.7598357,0.206640633,11.30877125,0.051711674,172,,,,,,,,,,,,,,,,,,
18890000,50.2232,46.335,349.8106077,0.218466335,11.39040552,0.050024977,173,,,,,,,,,,,,,,,,,,
18900000,50.199,46.3864,349.9005469,0.2248181,11.47719463,0.048899367,174,,,,,,,,,,,,,,,,,,
18900000,50.2335,46.4074,349.9488052,0.226432941,11.59974501,0.047039005,175,,,,,,,,,,,,,,,,,,
18920000,50.2483,46.4104,349.957315,0.227028235,11.6871762,0.046769683,176,,,,,,,,,,,,,,,,,,
18920000,50.2789,46.4177,349.9938987,0.214139276,11.70006468,0.045465882,177,,,,,,,,,,,,,,,,,,
18910000,50.2743,46.4137,350.0049204,0.205369502,11.76538618,0.044649593,178,,,,,,,,,,,,,,,,,,
18920000,50.2927,46.4198,349.9765192,0.193482534,11.7762448,0.044062081,179,,,,,,,,,,,,,,,,,,
18970000,50.3155,46.4246,349.9555757,0.184317195,11.81929038,0.04509276,180,,,,,,,,,,,,,,,,,,
18960000,50.3155,46.4467,349.9084938,0.177700814,11.82765722,0.049418462,181,,,,,,,,,,,,,,,,,,
18960000,50.3559,46.5073,349.8641144,0.178083077,11.87150923,0.052943891,182,,,,,,,,,,,,,,,,,,
18960000,50.3625,46.5192,349.7929682,0.175448778,11.92057228,0.058185701,183,,,,,,,,,,,,,,,,,,
18950000,50.3725,46.5197,349.7628186,0.176303167,11.93480284,0.063599729,184,,,,,,,,,,,,,,,,,,
18960000,50.4003,46.5233,349.7819695,0.177571131,11.94459629,0.068994208,185,,,,,,,,,,,,,,,,,,
18960000,50.4094,46.5251,349.7845743,0.17870724,11.98897617,0.07372,186,,,,,,,,,,,,,,,,,,
18960000,50.4266,46.5253,349.8491662,0.178469955,12.01598845,0.078479457,187,,,,,,,,,,,,,,,,,,
19000000,50.4372,46.5288,349.9401956,0.174254299,12.04355982,0.083043348,188,,,,,,,,,,,,,,,,,,
19000000,50.4426,46.4867,349.9690776,0.170181267,12.09280078,0.087065611,189,,,,,,,,,,,,,,,,,,
19020000,50.3757,46.4146,349.976766,0.16169095,12.11321686,0.089291493,190,,,,,,,,,,,,,,,,,,
19020000,50.3116,46.4157,350.0254989,0.14140181,12.10837982,0.089058733,191,,,,,,,,,,,,,,,,,,
19020000,50.3129,46.4148,350.0648073,0.135257466,12.17434196,0.08875095,192,,,,,,,,,,,,,,,,,,
19030000,50.3197,46.42,350.1121386,0.130260271,12.2170936,0.086554118,193,,,,,,,,,,,,,,,,,,
19030000,50.2737,46.4161,350.1442505,0.129451131,12.3013171,0.085130588,194,,,,,,,,,,,,,,,,,,
18990000,50.2785,46.411,350.1009998,0.124529593,12.35805146,0.084407783,195,,,,,,,,,,,,,,,,,,
19010000,50.2936,46.3996,350.0644441,0.130815204,12.43025605,0.082635837,196,,,,,,,,,,,,,,,,,,
18980000,50.2709,46.3874,350.0590005,0.137243439,12.50419167,0.082677285,197,,,,,,,,,,,,,,,,,,
18980000,50.2645,46.3538,350.0222856,0.146690226,12.59931517,0.0819419,198,,,,,,,,,,,,,,,,,,
18980000,50.2629,46.3431,349.947722,0.159815475,12.63691098,0.0811019,199,,,,,,,,,,,,,,,,,,
18950000,50.2394,46.336,349.9054186,0.170414751,12.73042733,0.081585249,200,,,,,,,,,,,,,,,,,,
18940000,50.2438,46.3301,349.8910437,0.179750045,12.80815617,0.080855928,201,,,,,,,,,,,,,,,,,,
18910000,50.2494,46.3292,349.8506075,0.186888959,12.8473403,0.081038552,202,,,,,,,,,,,,,,,,,,
18920000,50.2183,46.3277,349.7865809,0.192519548,12.8963676,0.080906244,203,,,,,,,,,,,,,,,,,,
18950000,50.2302,46.3268,349.7577397,0.189006878,12.93665029,0.078856833,204,,,,,,,,,,,,,,,,,,
18950000,50.2449,46.3238,349.7882565,0.17927448,12.96369532,0.076331855,205,,,,,,,,,,,,,,,,,,
18930000,50.2152,46.3299,349.8153545,0.176159638,13.04518534,0.075117466,206,,,,,,,,,,,,,,,,,,
18900000,50.2327,46.3364,349.8842566,0.167736652,13.11803228,0.073720905,207,,,,,,,,,,,,,,,,,,
18890000,50.2483,46.35,349.9568285,0.156458643,13.17444646,0.071053846,208,,,,,,,,,,,,,,,,,,
18910000,50.2555,46.3838,349.9916352,0.1441019,13.22207249,0.070724525,209,,,,,,,,,,,,,,,,,,
18960000,50.2613,46.41,350.0178614,0.139621448,13.28334106,0.072405792,210,,,,,,,,,,,,,,,,,,
18970000,50.2645,46.4116,350.0474479,0.131988054,13.35947768,0.072924253,211,,,,,,,,,,,,,,,,,,
18970000,50.2868,46.4153,350.0179001,0.125428959,13.43251167,0.074029412,212,,,,,,,,,,,,,,,,,,
18980000,50.3187,46.4196,350.0153343,0.121916833,13.49936621,0.07652181,213,,,,,,,,,,,,,,,,,,
18950000,50.3184,46.4188,350.0113656,0.11724914,13.58748655,0.080345339,214,,,,,,,,,,,,,,,,,,
18910000,50.3103,46.4152,349.9465202,0.11341819,13.67070869,0.082455113,215,,,,,,,,,,,,,,,,,,
