,nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl
284,18850000,49.9612,46.0207,350.3405,0.2274,1.7379,0.0691
285,18850000,49.9425,46.0208,350.1031,0.2397,1.7185,0.0858
286,18800000,49.9264,46.0207,349.9237,0.2524,1.9137,0.0802
287,18810000,49.9359,46.021,349.9136,0.1871,1.9991,0.0819
288,18800000,49.9084,46.0174,350.049,0.2026,1.8402,0.0808
289,18800000,49.9239,46.0158,350.0988,0.166,1.7864,0.0737
290,18840000,49.9166,46.0136,350.0443,0.1715,1.9052,0.0652
291,18830000,49.9154,46.0135,349.7835,0.1628,1.8177,0.0712
292,18810000,49.896,46.0107,349.8003,0.1805,1.7719,0.0629
293,18850000,49.94,46.0103,349.7708,0.15,1.7502,0.0646
294,18810000,49.8969,46.0104,349.8629,0.1192,2.1036,0.0557
295,18800000,49.9144,46.0073,349.8725,0.137,1.9275,0.0726
296,18800000,49.9036,46.0106,349.7991,0.1413,1.5361,0.0752
297,18830000,49.8881,46.0128,349.9249,0.1301,1.4275,0.0633
298,18850000,49.9076,46.0076,349.8048,0.1153,1.8068,0.0626
299,18800000,49.8802,45.9881,349.927,0.1139,1.7572,0.0588
300,18800000,49.8863,45.9527,349.8622,0.1128,2.0709,0.0789
